0.008,92.90
0.518,92.93
1.029,93.00
1.539,93.09
2.049,93.16
2.558,93.22
3.068,93.33
3.578,93.36
4.089,93.38
4.599,93.45
5.109,93.51
5.619,93.54
6.129,93.58
6.639,93.62
7.150,93.62
7.660,93.63
8.170,93.67
8.680,93.16
9.190,93.72
9.701,93.72
10.211,93.76
10.721,93.76
11.231,93.74
11.741,93.80
12.252,93.31
12.762,93.27
13.272,93.83
13.782,93.29
14.291,93.15
14.802,93.38
15.312,93.82
15.822,93.33
16.332,93.83
16.842,93.40
17.353,93.49
17.863,93.22
18.373,93.38
18.883,93.54
19.394,93.83
19.904,93.38
20.414,93.34
20.924,93.25
21.434,93.22
21.945,93.80
22.455,93.47
22.965,93.29
23.475,93.40
23.985,93.02
24.496,93.34
25.006,93.15
25.516,93.18
26.025,93.18
26.536,93.43
27.046,93.36
27.556,93.15
28.066,93.25
28.576,93.31
29.087,93.16
29.597,93.15
30.107,92.95
30.617,93.13
31.127,93.04
31.638,93.06
32.148,93.11
32.658,93.07
33.168,93.02
33.679,92.90
34.189,93.15
34.699,92.86
35.209,93.54
35.719,92.93
36.230,92.98
36.740,92.91
37.250,93.16
37.760,93.00
38.269,92.93
38.780,92.93
39.290,93.43
39.800,93.42
40.310,92.81
40.820,92.84
41.331,92.84
41.841,92.79
42.351,92.72
42.861,92.77
43.371,92.79
43.882,92.93
44.392,92.82
44.902,92.82
45.412,92.86
45.923,92.61
46.433,93.18
46.943,92.97
47.453,92.66
47.963,92.74
48.474,92.77
48.984,92.75
49.494,92.65
50.003,93.16
50.513,92.51
51.024,92.65
51.534,92.49
52.044,93.15
52.554,92.47
53.065,92.61
53.575,92.56
54.085,92.61
54.595,92.61
55.105,92.63
55.616,92.63
56.126,92.77
56.636,92.47
57.146,92.61
57.656,92.47
58.167,92.61
58.677,92.51
59.187,92.38
59.697,92.49
60.208,92.54
60.718,92.58
61.228,92.31
61.737,92.49
62.247,92.47
62.758,92.44
63.268,92.21
63.778,92.82
64.288,92.23
64.798,92.79
65.309,92.12
65.819,92.77
66.329,92.77
66.839,92.63
67.349,92.21
67.860,92.17
68.370,92.51
68.880,92.30
69.390,92.70
69.901,92.33
70.411,92.02
