318.91, 30.626
316.93, 30.725
314.86, 30.823
312.95, 30.921
310.94, 31.021
308.95, 31.119
307.04, 31.217
305.01, 31.316
303.09, 31.414
301.15, 31.512
299.17, 31.612
297.29, 31.710
295.39, 31.808
293.46, 31.906
291.57, 32.005
289.66, 32.103
287.75, 32.202
285.83, 32.301
283.92, 32.399
282.04, 32.497
280.19, 32.596
278.33, 32.695
276.52, 32.793
274.68, 32.892
272.81, 32.990
271.01, 33.088
269.16, 33.186
267.36, 33.286
265.58, 33.384
263.67, 33.482
261.88, 33.581
260.07, 33.679
258.29, 33.778
256.56, 33.877
254.76, 33.975
252.98, 34.073
251.29, 34.172
249.50, 34.270
247.75, 34.369
246.04, 34.468
244.30, 34.566
242.56, 34.664
240.81, 34.762
239.06, 34.861
237.39, 34.960
235.72, 35.058
234.03, 35.157
232.36, 35.255
230.66, 35.353
228.97, 35.453
227.32, 35.551
225.64, 35.649
224.06, 35.748
222.43, 35.846
220.74, 35.944
219.10, 36.043
217.52, 36.142
215.90, 36.240
214.28, 36.338
212.67, 36.437
211.10, 36.536
209.52, 36.634
207.93, 36.733
206.37, 36.831
204.80, 36.929
203.21, 37.028
201.65, 37.127
200.13, 37.225
198.60, 37.323
197.06, 37.422
195.55, 37.520
194.03, 37.618
192.52, 37.718
190.96, 37.816
189.49, 37.914
188.04, 38.013
186.51, 38.111
184.99, 38.210
183.52, 38.309
182.09, 38.407
180.63, 38.505
179.17, 38.603
177.73, 38.702
176.32, 38.801
174.90, 38.899
173.43, 38.998
172.01, 39.096
170.65, 39.194
169.24, 39.294
167.82, 39.392
166.43, 39.490
165.00, 39.589
163.65, 39.687
162.29, 39.785
160.95, 39.884
159.62, 39.983
158.24, 40.081
156.87, 40.179
155.55, 40.278
154.24, 40.377
152.90, 40.475
151.59, 40.574
150.30, 40.672
149.00, 40.770
147.70, 40.869
146.36, 40.968
145.11, 41.066
143.85, 41.164
142.59, 41.263
141.31, 41.361
140.06, 41.459
138.86, 41.559
137.60, 41.657
136.34, 41.755
135.09, 41.854
133.86, 41.952
132.65, 42.051
131.42, 42.150
130.22, 42.248
129.05, 42.346
127.89, 42.444
126.69, 42.543
125.52, 42.642
124.31, 42.740
123.16, 42.839
122.07, 42.937
120.94, 43.035
119.78, 43.134
118.63, 43.233
117.47, 43.331
116.39, 43.430
115.29, 43.528
114.17, 43.626
113.06, 43.726
111.99, 43.824
110.94, 43.922
109.86, 44.020
108.72, 44.119
107.67, 44.217
106.66, 44.316
105.61, 44.415
104.55, 44.513
103.52, 44.611
102.50, 44.710
101.46, 44.809
100.43, 44.907
99.41, 45.006
98.43, 45.104
97.45, 45.202
96.44, 45.300
95.47, 45.400
94.46, 45.498
93.50, 45.596
92.57, 45.695
91.64, 45.793
90.71, 45.891
89.77, 45.991
88.88, 46.089
88.06, 46.187
87.29, 46.286
86.63, 46.384
86.09, 46.482
85.68, 46.581
85.22, 46.680
84.71, 46.778
84.15, 46.876
83.61, 46.975
83.29, 47.073
83.09, 47.172
82.84, 47.271
82.52, 47.369
82.04, 47.467
81.47, 47.566
81.10, 47.664
80.87, 47.763
80.56, 47.861
80.31, 47.960
80.11, 48.058
79.88, 48.156
79.71, 48.255
79.57, 48.354
79.39, 48.452
79.20, 48.551
78.99, 48.649
78.82, 48.747
78.65, 48.846
78.54, 48.945
78.36, 49.043
78.16, 49.141
78.00, 49.240
77.85, 49.338
77.72, 49.436
77.56, 49.536
77.41, 49.634
77.27, 49.732
77.09, 49.831
76.97, 49.929
76.93, 50.028
76.79, 50.127
76.64, 50.225
76.53, 50.323
76.41, 50.421
76.29, 50.520
76.20, 50.619
76.10, 50.717
75.95, 50.816
75.87, 50.914
75.78, 51.012
75.68, 51.111
75.59, 51.210
75.56, 51.308
75.55, 51.407
75.56, 51.505
75.55, 51.603
75.52, 51.702
